FIRST YEAR,,,,,,,,,,,,,
FIRST SEMESTER,,,,,,,SECOND SEMESTER,,,,,,
,Code,Title,Lec,Lab,Units,Pre-Requisite,,Code,Title,Lec,Lab,Units,Pre-Requisite
_______,CC101,Introduction to Computing,2,3,3,,_______,CC103,Computer Programming 2,2,3,3,CC102
_______,CC102,Computer Programming 1,2,3,3,,_______,ENG23,Speech and Oral Communication,3,0,3,
_______,FIL31,Filipino sa Iba't Ibang Displina,3,0,3,,_______,MAT41,Mathematics in Modern World,3,0,3,
_______,SCI75,"Science, Technology, and Society",3,0,3,,_______,CC104,Data Structure and Algorithms,2,3,3,CC102/CC103
_______,SSP83,The Contemporary World,3,0,3,,_______,PT101,Platform Technologies,2,3,3,
_______,ENG22,Purposive Communication,3,0,3,,_______,PFT62,Exercise-based Fitness Activities,2,0,2,
_______,PFT61,Movement Competency Training,2,0,2,,_______,NST52,Civic Welfare Training Service,3,0,3,
_______,NST51,"Community Relations and Development with Anti-drugs, Anti-smoking, Anti-Terrorism Education, and Peace Education",3,3,3,,_______,SCI71,Environmental Science,3,0,3,
,,,21,9,23,,,,,20,9,23,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
